"","배우이름","흥행지수","흥행지수"
"1","박서준",32800,1
"2","유해진",24014,0.705878414568827
"3","마동석",23476,0.687868237814676
"4","강하늘",19814,0.565278521692555
"5","송강호",19378,0.550682913765399
"6","박혁권",19285,0.547569630423139
"7","최귀화",18836,0.532538832351366
"8","하정우",18171,0.510277182645956
"9","소지섭",17782,0.497254954472416
"10","오달수",17670,0.493505623995715
"11","황정민",17042,0.472482592394215
"12","조진웅",16388,0.450589180503482
"13","이병헌",14947,0.402350026780932
"14","박희순",14588,0.390332083556508
"15","고창석",13320,0.347884306373862
"16","차태현",11640,0.291644349223353
"17","엄태구",11624,0.291108730583824
"18","김주혁",11084,0.273031601499732
"19","주지훈",10965,0.269047937868238
"20","송중기",10567,0.255724424209962
"21","김태리",9927,0.234299678628816
"22","김명민",9767,0.22894349223353
"23","김윤석",9714,0.227169255490091
"24","유은미",9687,0.226265399035886
"25","설경구",9648,0.224959828602035
"26","김향기",9595,0.223185591858597
"27","도경수",9235,0.211134172469202
"28","김동욱",8904,0.200053561863953
"29","조우진",8835,0.197743706480986
"30","윤여정",8677,0.19245447241564
"31","김성령",8384,0.182645956079272
"32","김의성",8186,0.176017675415104
"33","이제훈",7935,0.167615158007499
"34","현빈",7527,0.153956882699518
"35","박정민",7489,0.152684788430637
"36","이정현",7330,0.147362078200321
"37","박해준",7054,0.138122656668452
"38","김남길",6930,0.133971612212105
"39","임원희",6897,0.132866898768077
"40","장광",6824,0.130423138725228
"41","윤계상",6723,0.127042046063203
"42","위하준",6590,0.122589716122121
"43","유지태",6572,0.121987145152651
"44","이경영",6089,0.10581815747188
"45","전혜진",6066,0.105048205677558
"46","진선규",5954,0.101298875200857
"47","박성웅",5718,0.0933985002678093
"48","성동일",5694,0.0925950723085163
"49","염정아",5671,0.0918251205141939
"50","장동건",5558,0.0880423138725228
"51","최우식",5547,0.0876740760578468
"52","정해균",5507,0.0863350294590252
"53","조재윤",5422,0.0834895554365292
"54","박지현",5337,0.0806440814140332
"55","허성태",5268,0.0783342260310659
"56","조민수",5252,0.0777986073915372
"57","신하균",5218,0.0766604177825388
"58","김해숙",5213,0.0764930369576861
"59","나문희",4996,0.0692287091590787
"60","이희준",4840,0.0640064274236744
"61","이정재",4797,0.0625669523299411
"62","임형준",4711,0.0596880021424746
"63","배성우",4650,0.0576459560792716
"64","김설현",4618,0.0565747188002142
"65","김상경",4463,0.0513859132297804
"66","이성민",4421,0.0499799143010177
"67","권율",4401,0.0493103910016069
"68","문성근",4264,0.0447241564006427
"69","정우성",4203,0.0426821103374397
"70","차승원",4192,0.0423138725227638
"71","김수안",4108,0.0395018746652383
"72","여진구",4095,0.0390666845206213
"73","김지원",4075,0.0383971612212105
"74","홍기준",4071,0.0382632565613283
"75","오아연",3954,0.034346545259775
"76","곽도원",3952,0.034279592929834
"77","권상우",3836,0.0303963577932512
"78","송영창",3804,0.0293251205141939
"79","최덕문",3788,0.0287895018746652
"80","허동원",3758,0.027785216925549
"81","박경혜",3752,0.0275843599357258
"82","이준혁",3713,0.0262787895018747
"83","김갑수",3708,0.026111408677022
"84","문소리",3674,0.0249732190680236
"85","정연주",3653,0.0242702196036422
"86","손예진",3596,0.0223620782003214
"87","염혜란",3433,0.0169054633101232
"88","최희서",3428,0.0167380824852705
"89","김하늘",3424,0.0166041778253883
"90","최정우",3282,0.0118505623995715
"91","남명렬",3252,0.0108462774504553
"92","이상희",3214,0.00957418318157472
"93","이광수",3196,0.00897161221210498
"94","박해일",3169,0.00806775575790038
"95","정인기",3132,0.00682913765399036
"96","김종수",3071,0.00478709159078736
"97","이민기",3054,0.00421799678628816
"98","김소진",2983,0.00184118907337975
"99","고수",2971,0.00143947509373326
"100","김무열",2928,0
